gene_id	color
1552836_at	yellow
1552837_at	turquoise
1552839_at	turquoise
1552841_s_at	turquoise
1552842_at	turquoise
1552843_at	turquoise
1552845_at	yellow
1552846_s_at	brown
1552848_a_at	grey
1552849_at	grey
1552851_at	turquoise
1552852_a_at	yellow
1552853_at	turquoise
1552854_a_at	turquoise
1552856_at	turquoise
1552857_a_at	turquoise
1552858_at	grey
1552860_at	turquoise
1552862_at	grey
1552863_a_at	turquoise
1552865_a_at	turquoise
1552867_at	grey
1552868_at	turquoise
1552870_s_at	blue
1552872_at	turquoise
1552873_s_at	turquoise
1552875_a_at	blue
1552876_at	grey
1552877_s_at	turquoise
1552878_at	grey
1552879_a_at	brown
1552880_at	blue
1552882_a_at	green
1552884_at	turquoise
1552885_a_at	turquoise
1552887_at	turquoise
1552889_a_at	turquoise
1552890_a_at	turquoise
1552892_at	turquoise
1552893_at	turquoise
1552895_a_at	grey
1552897_a_at	brown
1552898_a_at	turquoise
1552899_at	yellow
1552900_a_at	tan
1552902_a_at	yellow
1552903_at	brown
1552904_at	black
1552906_at	green
1552908_at	brown
1552910_at	grey
1552911_at	yellow
1552912_a_at	grey
1552913_at	grey
1552914_a_at	brown
1552915_at	turquoise
1552917_at	turquoise
1552919_at	grey
1552921_a_at	blue
1552922_at	grey
1552923_a_at	turquoise
1552924_a_at	grey
1552925_at	blue
1552927_at	yellow
1552928_s_at	yellow
1552929_at	grey
1552930_at	grey
1552931_a_at	blue
1552932_at	turquoise
1552933_at	turquoise
1552935_at	turquoise
1552937_s_at	brown
1552938_at	turquoise
1552939_at	grey
1552940_at	tan
1552942_at	turquoise
1552943_at	grey
1552944_a_at	turquoise
1552946_at	grey
1552947_x_at	grey
1552948_at	turquoise
1552950_at	grey
1552952_at	grey
1552953_a_at	turquoise
1552954_at	grey
1552955_at	turquoise
1552957_at	turquoise
1552960_at	turquoise
1552961_at	green
1552964_at	grey
1552965_a_at	brown
1552967_at	sienna3
1552969_a_at	grey
1552970_s_at	blue
1552971_at	grey
1552972_at	black
1552973_at	turquoise
1552974_at	grey
1552975_x_at	grey
1552976_at	turquoise
1552977_a_at	blue
1552978_a_at	yellow
1552979_at	brown
1552980_at	brown
1552982_a_at	turquoise
1552985_at	turquoise
1552986_at	grey
1552987_a_at	grey
1552988_at	black
1552990_at	turquoise
1552991_at	brown
1552993_at	turquoise
1552995_at	turquoise
1552997_a_at	green
1552998_at	turquoise
1552999_a_at	grey
1553002_at	grey
1553003_at	turquoise
1553004_at	grey
1553006_at	grey
1553007_a_at	grey
1553009_s_at	turquoise
1553011_at	turquoise
1553013_at	turquoise
1553015_a_at	black
1553016_at	turquoise
1553019_at	turquoise
1553020_at	yellow
1553021_s_at	turquoise
1553022_at	grey
1553023_a_at	green
1553024_at	turquoise
1553025_at	turquoise
1553027_a_at	turquoise
1553028_at	turquoise
1553030_a_at	blue
1553031_at	grey
1553032_at	turquoise
1553033_at	blue
1553034_at	green
1553036_at	greenyellow
1553037_a_at	turquoise
1553039_a_at	turquoise
1553041_at	turquoise
1553042_a_at	red
1553043_a_at	brown
1553044_at	turquoise
1553045_at	green
1553046_s_at	turquoise
1553047_at	blue
1553048_a_at	brown
1553051_s_at	turquoise
1553052_at	grey
1553053_at	turquoise
1553055_a_at	blue
1553057_at	turquoise
1553058_at	turquoise
1553059_at	turquoise
1553060_at	turquoise
1553061_at	turquoise
1553062_at	grey
1553063_at	turquoise
1553064_at	turquoise
1553066_at	turquoise
1553067_a_at	grey
1553069_at	turquoise
1553070_a_at	turquoise
1553071_a_at	turquoise
1553072_at	turquoise
1553074_at	turquoise
1553075_a_at	grey
1553076_at	green
1553077_at	turquoise
1553078_at	grey
1553079_at	skyblue
1553080_at	tan
1553081_at	turquoise
1553082_at	turquoise
1553083_at	grey
1553084_at	greenyellow
1553086_at	grey
1553087_at	turquoise
1553088_a_at	turquoise
1553089_a_at	turquoise
1553093_a_at	turquoise
1553094_at	yellow
1553096_s_at	turquoise
1553099_at	pink
1553101_a_at	yellow
1553102_a_at	brown
1553103_at	yellow
1553105_s_at	grey
1553106_at	yellow
1553107_s_at	brown
1553108_at	yellow
1553111_a_at	blue
1553112_s_at	brown
1553113_s_at	magenta
1553114_a_at	brown
1553115_at	white
1553117_a_at	yellow
1553118_at	brown
1553120_at	brown
1553122_s_at	yellow
1553123_at	yellow
1553125_x_at	turquoise
1553126_a_at	grey
1553127_a_at	grey
1553129_at	turquoise
1553130_at	turquoise
1553131_a_at	turquoise
1553132_a_at	blue
1553133_at	blue
1553134_s_at	grey
1553136_at	turquoise
1553137_s_at	black
1553138_a_at	green
1553139_s_at	grey
1553140_at	grey
1553141_at	yellow
1553142_at	turquoise
1553145_at	red
1553146_at	turquoise
1553147_at	greenyellow
1553148_a_at	cyan
1553150_at	blue
1553151_at	brown
1553153_at	brown
1553155_x_at	brown
1553156_at	turquoise
1553157_at	yellow
1553158_at	black
1553159_at	turquoise
1553162_x_at	turquoise
1553163_at	turquoise
1553165_at	red
1553166_at	turquoise
1553167_a_at	turquoise
1553168_at	grey
1553169_at	turquoise
1553171_x_at	turquoise
1553172_at	brown
1553174_at	turquoise
1553175_s_at	brown
1553176_at	turquoise
1553177_at	grey
1553178_a_at	turquoise
1553179_at	grey
1553180_at	grey
1553181_at	grey
1553183_at	grey
1553185_at	red
1553186_x_at	red
1553188_s_at	turquoise
1553190_s_at	turquoise
1553191_at	grey
1553192_at	green
1553193_at	red
1553194_at	brown
1553196_a_at	blue
1553197_at	blue
1553199_at	grey
1553202_at	blue
1553204_at	turquoise
1553205_at	turquoise
1553207_at	yellow
1553208_s_at	grey
1553209_at	turquoise
1553211_at	turquoise
1553212_at	yellow
1553213_a_at	grey
1553214_a_at	grey
1553215_s_at	turquoise
1553216_at	yellow
1553217_s_at	yellow
1553218_a_at	grey
1553219_a_at	yellow
1553220_at	yellow
1553221_at	salmon
1553222_at	turquoise
1553224_at	grey
1553225_s_at	yellow
1553226_at	grey
1553227_s_at	turquoise
1553228_at	grey
1553229_at	brown
1553232_at	yellow
1553234_at	turquoise
1553235_at	turquoise
1553237_x_at	turquoise
1553238_a_at	turquoise
1553239_at	turquoise
1553241_at	turquoise
1553243_at	brown
1553244_at	blue
1553246_a_at	turquoise
1553247_a_at	grey
1553248_at	turquoise
1553249_at	turquoise
1553252_a_at	turquoise
1553253_at	turquoise
1553254_at	blue
1553255_at	turquoise
1553257_at	turquoise
1553258_at	turquoise
1553260_s_at	turquoise
1553261_x_at	grey
1553262_a_at	turquoise
1553263_at	turquoise
1553264_a_at	turquoise
1553265_at	grey
1553266_at	grey
1553267_a_at	yellow
1553268_at	turquoise
1553269_at	turquoise
1553271_at	green
1553272_at	blue
1553274_a_at	turquoise
1553275_s_at	turquoise
1553276_at	red
1553277_at	grey
1553279_at	turquoise
1553280_at	brown
1553281_at	turquoise
1553282_at	turquoise
1553284_s_at	brown
1553285_s_at	grey
1553286_at	turquoise
1553288_a_at	turquoise
1553292_s_at	pink
1553293_at	turquoise
1553295_at	grey
1553296_at	brown
1553297_a_at	yellow
1553298_at	brown
1553299_at	brown
1553300_a_at	blue
1553301_a_at	blue
1553303_at	turquoise
1553304_at	turquoise
1553306_at	turquoise
1553310_at	yellow
1553311_at	grey
1553313_s_at	grey
1553314_a_at	turquoise
1553315_at	grey
1553316_at	brown
1553317_s_at	brown
1553318_at	turquoise
1553319_at	blue
1553320_s_at	grey
1553321_a_at	grey
1553322_s_at	brown
1553323_a_at	turquoise
1553325_at	turquoise
1553326_at	turquoise
1553327_a_at	turquoise
1553328_a_at	blue
1553329_at	yellow
1553330_at	green
1553333_at	orangered4
1553335_x_at	turquoise
